"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C39,C29";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7μF";;;
2;"SW3";"SW_PUSH_6mm";1;"SW_SPST";;;
3;"C30,C32";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1.0μF";;;
4;"R21,R20,R10,R11,R1,R9,R12,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"10kΩ";;;
5;"SW4,SW2,SW1,SW5";"SW_Tactile_SPDT_Omron_D2F";4;"SW_SPST";;;
6;"C18,C8,C43,C12,C3,C6,C41,C9,C16,C40,C10,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"10uF";;;
7;"L1,L4";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";2;"10μH";;;
8;"L3";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"3.3nH";;;
9;"C37,C33";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"N.C.";;;
10;"J2";"JSTPH2PINSMTRIGHTANGLECONNECTOR";1;"JSTPH";;;
11;"U3";"SOT-23-5";1;"MCP73831-2-OT";;;
12;"C38,C13,C14,C28,C22,C4,C31,C2,C5,C23,C19,C20,C21";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";13;"100nF";;;
13;"SW6,SW7";"C_0402_1005Metric";2;"SW_SPST";;;
14;"U5";"Nordic_AQFN-73-1EP_7x7mm_P0.5mm";1;"nRF52840";;;
15;"A1";"PAW3395";1;"~";;;
16;"Y2";"ABM8A32000MHZD2YT3";1;"32 Hz";;;
17;"Y1";"FC135327680KAA";1;"32.768 Hz";;;
18;"SW8";"EC10E1220503";1;"RotaryEncoder";;;
19;"C34";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100pF";;;
20;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2kΩ";;;
21;"L2";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"15nH";;;
22;"C35";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.8pF";;;
23;"C36";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.5pF";;;
24;"LED1";"SK6812MINIE";1;"SK6812MINI-E";;;
25;"SW9";"SW_SPST_CK_RS282G05A3";1;"SW_SPST";;;
26;"C17,C11,C42";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"1uF";;;
27;"D6,D4,D2,D1,D5,D3";"D_SOD-123F";6;"MBR1020VL";;;
28;"R5,R8,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100kΩ";;;
29;"C27,C24,C26,C25";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"12pF";;;
30;"U2";"SOT-23-5";1;"SPX3819M5-L-3-3";;;
31;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.1kΩ";;;
32;"J3";"USB_C_Receptacle_Amphenol_12401548E4-2A";1;"USB_C_Receptacle_USB2.0_14P";;;
33;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF";;;
34;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.6Ω";;;
35;"U4";"SOT-23-5";1;"TLV70019_SOT23-5";;;
36;"U6";"SOT-23-5";1;"SPX3819M5-L-5-0";;;
37;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"33uF";;;
